,area_name,h_mean,avg_wagegap(hr)_STEM_vs_state,a_mean,avg_wagegap(yr)_STEM_vs_state,tot_emp_STEM,STEM_percentage,year
244,Nevada,44.87,16.55559960049128,93340,34446.79313276916,58000,3.9141056268642616,2023
245,New Hampshire,53.49,21.709871880322893,111270,45156.53351107161,51430,7.617566466711101,2023
246,New Jersey,60.84,25.275329471845573,126550,52573.42760186379,303080,7.2124468728136355,2023
247,New Mexico,52.24,24.59015681544029,108650,51133.38962605549,59160,6.996381182147165,2023
248,New York,59.64,21.841732512991292,124060,45437.593802932664,534640,5.692001239243124,2023
249,North Carolina,52.43,23.7150903433548,109060,49333.702033768226,342620,7.145300143481598,2023
250,North Dakota,41.7,13.31530262748198,86730,27681.310627290368,18710,4.481329788508059,2023
251,Ohio,47.05,18.256381309012717,97870,37983.834665652495,311770,5.700509767496288,2023
252,Oklahoma,43.73,18.03500519734905,90950,37502.564726523306,85360,5.128852197006567,2023
253,Oregon,52.42,20.351055543261786,109040,42332.41867669839,143190,7.368886921885373,2023
254,Pennsylvania,48.85,19.085835901211905,101610,39693.27879848499,361290,6.073642218445354,2023
255,Rhode Island,53.77,21.746692474704034,111840,45231.625087050925,31960,6.546229158985703,2023
256,South Carolina,45.22,19.13992676365534,94060,39802.34770169235,120820,5.435144448343185,2023
257,South Dakota,40.22,14.626775129953419,83650,30420.277458988727,22860,5.144130155944103,2023
258,Tennessee,44.91,17.969018809897328,93420,37391.134806852955,161800,5.026327643248784,2023
259,Texas,51.73,22.286611028953487,107600,46359.12744920877,946900,6.9840942030321695,2023
260,Utah,48.86,19.501628977875207,101630,40552.323519950434,130830,7.793716416665673,2023
261,Vermont,47.3,17.114608990557254,98380,35596.88788402713,19020,6.323979252560181,2023
262,Virginia,57.82,24.14735700667901,120270,50226.139864812256,371150,9.322729978674396,2023
263,Washington,63.06,25.49748282076957,131150,53027.24394221141,366060,10.472321556286653,2023
264,West Virginia,42.89,17.79042430226817,89210,37006.762117735896,29620,4.301106496674702,2023
265,Wisconsin,44.2,15.596921680255306,91940,32443.47624212142,174390,6.042640480389745,2023
266,Wyoming,41.95,14.093236164383562,87250,29321.17808219178,12720,4.646575342465754,2023
267,Guam,31.49,11.199086270871987,65500,23290.644712430425,2610,4.0352504638218925,2023
268,Puerto Rico,29.87,13.464480306817205,62140,28023.789968111698,36780,3.962337326553478,2023
269,Virgin Islands,34.55,10.214332344213648,71860,21239.946587537095,760,2.2551928783382786,2023
