,area_name,education_category,tot_emp,pct_total ,h_mean,a_mean
292,Oklahoma,Postsecondary nondegree award,122320,7.35,23.09,48030
293,Oklahoma,"Some college, no degree",44390,2.67,19.5,40550
294,Oklahoma,High school diploma or equivalent,646760,38.86,22.18,46130
295,Oklahoma,No formal educational credential,395760,23.78,14.94,31080
296,Oregon,Doctoral or professional degree,49610,2.55,79.41,165160
297,Oregon,Master's degree,34010,1.75,47.9,99620
298,Oregon,Bachelor's degree,495510,25.5,48.72,101340
299,Oregon,Associate's degree,45140,2.32,32.74,68090
300,Oregon,Postsecondary nondegree award,103910,5.35,27.96,58160
301,Oregon,"Some college, no degree",59090,3.04,23.53,48940
302,Oregon,High school diploma or equivalent,723210,37.22,25.77,53600
303,Oregon,No formal educational credential,432680,22.27,18.96,39440
304,Pennsylvania,Doctoral or professional degree,182770,3.07,70.37,146380
305,Pennsylvania,Master's degree,112380,1.89,44.93,93450
306,Pennsylvania,Bachelor's degree,1421650,23.9,46.75,97250
307,Pennsylvania,Associate's degree,123880,2.08,29.57,61500
308,Pennsylvania,Postsecondary nondegree award,383370,6.44,24.14,50210
309,Pennsylvania,"Some college, no degree",141610,2.38,21.8,45330
310,Pennsylvania,High school diploma or equivalent,2288640,38.47,23.9,49710
311,Pennsylvania,No formal educational credential,1294180,21.76,17,35350
312,Rhode Island,Doctoral or professional degree,15570,3.19,69.39,144340
313,Rhode Island,Master's degree,12700,2.6,46.3,96310
314,Rhode Island,Bachelor's degree,120480,24.68,48.32,100510
315,Rhode Island,Associate's degree,11030,2.26,36.71,76350
316,Rhode Island,Postsecondary nondegree award,31340,6.42,25.19,52400
317,Rhode Island,"Some college, no degree",11550,2.37,23.75,49390
318,Rhode Island,High school diploma or equivalent,177240,36.3,26.41,54930
319,Rhode Island,No formal educational credential,108320,22.19,18.42,38310
320,South Carolina,Doctoral or professional degree,50740,2.28,68.38,142230
321,South Carolina,Master's degree,41260,1.86,40.92,85110
322,South Carolina,Bachelor's degree,448740,20.19,42.57,88550
323,South Carolina,Associate's degree,49170,2.21,29.23,60800
324,South Carolina,Postsecondary nondegree award,144340,6.49,22.85,47530
325,South Carolina,"Some college, no degree",46040,2.07,20.1,41810
326,South Carolina,High school diploma or equivalent,891980,40.13,22.3,46370
327,South Carolina,No formal educational credential,550690,24.77,14.85,30880
328,South Dakota,Doctoral or professional degree,9520,2.14,70.13,145870
329,South Dakota,Master's degree,8120,1.83,39.17,81460
330,South Dakota,Bachelor's degree,91860,20.67,38.49,80070
331,South Dakota,Associate's degree,10250,2.31,26.7,55530
332,South Dakota,Postsecondary nondegree award,28130,6.33,23.24,48340
333,South Dakota,"Some college, no degree",15970,3.59,18.59,38670
334,South Dakota,High school diploma or equivalent,169250,38.09,22.56,46920
335,South Dakota,No formal educational credential,111310,25.05,16.25,33800
336,Tennessee,Doctoral or professional degree,69610,2.16,74.98,155950
337,Tennessee,Master's degree,**,**,41.18,85660
338,Tennessee,Bachelor's degree,686710,21.33,42.9,89230
339,Tennessee,Associate's degree,**,**,28.72,59730
340,Tennessee,Postsecondary nondegree award,219460,6.82,23.83,49570
341,Tennessee,"Some college, no degree",82850,2.57,20.42,42480
342,Tennessee,High school diploma or equivalent,1264460,39.28,22.46,46710
343,Tennessee,No formal educational credential,769590,23.91,15.96,33200
344,Texas,Doctoral or professional degree,271850,2.01,75.66,157370
345,Texas,Master's degree,237030,1.75,43.57,90630
346,Texas,Bachelor's degree,3466160,25.57,47.85,99530
347,Texas,Associate's degree,285280,2.1,30.51,63460
348,Texas,Postsecondary nondegree award,828040,6.11,24.81,51610
349,Texas,"Some college, no degree",340810,2.51,20.81,43280
350,Texas,High school diploma or equivalent,5138490,37.9,23.08,48010
351,Texas,No formal educational credential,2990300,22.06,15.88,33020
352,Utah,Doctoral or professional degree,36340,2.16,66.75,138830
353,Utah,Master's degree,31800,1.89,42.15,87660
354,Utah,Bachelor's degree,430950,25.67,44.95,93490
355,Utah,Associate's degree,35560,2.12,29.56,61490
356,Utah,Postsecondary nondegree award,96980,5.78,24.18,50290
357,Utah,"Some college, no degree",47420,2.82,22.28,46340
358,Utah,High school diploma or equivalent,635670,37.87,24.02,49960
359,Utah,No formal educational credential,363920,21.68,17.68,36770
360,Vermont,Doctoral or professional degree,9270,3.08,68.21,141880
361,Vermont,Master's degree,8660,2.88,41.29,85880
362,Vermont,Bachelor's degree,78050,25.95,43.09,89630
363,Vermont,Associate's degree,7460,2.48,29.76,61890
364,Vermont,Postsecondary nondegree award,18030,5.99,24.51,50980
365,Vermont,"Some college, no degree",11400,3.79,22.56,46930
366,Vermont,High school diploma or equivalent,104430,34.72,24.55,51060
367,Vermont,No formal educational credential,63460,21.1,19.54,40630
368,Virginia,Doctoral or professional degree,97370,2.45,73.36,152590
369,Virginia,Master's degree,75530,1.9,46.74,97220
370,Virginia,Bachelor's degree,1199780,30.14,53.93,112160
371,Virginia,Associate's degree,82890,2.08,34.98,72760
372,Virginia,Postsecondary nondegree award,240840,6.05,24.72,51420
373,Virginia,"Some college, no degree",100400,2.52,23.54,48970
374,Virginia,High school diploma or equivalent,1362650,34.23,24.53,51030
375,Virginia,No formal educational credential,821670,20.64,17.1,35570
376,Washington,Doctoral or professional degree,82030,2.35,84.14,175010
377,Washington,Master's degree,67490,1.93,51.48,107080
378,Washington,Bachelor's degree,994860,28.46,57.29,119170
379,Washington,Associate's degree,79050,2.26,37.5,78010
